Verband,Name,Region,Plz,Adresse,Telefon,Fax,Web,E-Mail,Angebotsart,Sprache,Leistungskategorie,Google Maps URL,latitude,longitude
AWO Kreisverband Südost e.V.,AWO Hort „Sonnenkids“,Neukölln,12045,Sonnenallee 30 + 32,030 62 00 59 76,030 627 225 723,https://www.awo-südost.de/hort-sonnenkids,info-sonnenkids@awo-suedost.de,Offene Ganztagsbetreuung,Deutsch,Inklusion,,48.224861,16.503055
AWO Kreisverband Südost e.V.,AWO Wohngemeinschaften,Neukölln,12043,Erkstraße 1,030 613 963 37,,https://www.awo-südost.de/wg,mike-früh@awo-suedost.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,52.480862,13.436075
AWO Kreisverband Südost e.V.,Betreutes Wohnen (Neukölln),Neukölln,12053,Falkstraße 27,030 628 422 95,030 666 494 95,https://www.awo-südost.de/bew,bew@awo-suedost.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,47.972355,16.216848
AWO Kreisverband Südost e.V.,FALK-Club,Neukölln,12053,Falkstraße 27,030 625 40 66,030 627 20 548,https://www.awo-südost.de/falkclub,falk-club@awo-suedost.de,Freizeitangebot für Menschen mit Behinderung,Deutsch,Inklusion,,47.972355,16.216848
AWO Kreisverband Südwest e.V.,Betreutes Einzelwohnen,Steglitz-Zehlendorf,12103,Albrechtstraße 110,030 70 00 90 15,030 70 00 90-25,https://www.awo-suedwest.de/behindertenhilfe.html,marion.kurze@awo-suedwest.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,48.315588,16.314852
AWO Kreisverband Südwest e.V.,Wohngemeinschaft Hauptstraße,Tempelhof-Schöneberg,,,030 70 00 90 15,,https://www.awo-suedwest.de/behindertenhilfe.html,marion.kurze@awo-suedwest.de,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,,
AWO Kreisverband Südwest e.V.,Wohngemeinschaft Mariendorfer Damm,Tempelhof-Schöneberg,,,030 70 00 90 15,,www.awo-suedwest.de,,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,,
AWO Kreisverband Südwest e.V.,Wohngemeinschaften Monopolstraße,Tempelhof-Schöneberg,,,030 70 00 90 15,,https://www.awo-suedwest.de/behindertenhilfe.html,,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,,
AWO Kreisverband Südwest e.V.,Wohngemeinschaften Ullsteinstraße,Tempelhof-Schöneberg,,,030 70 00 90 15,,https://www.awo-suedwest.de/behindertenhilfe.html,,Betreutes Wohnen für Menschen mit Behinderung,Deutsch,Inklusion,,,
AWO Kreisverband Treptow-Köpenick e.V.,Wohngemeinschaft Müggelseedamm,Treptow-Köpenick,12587,Müggelseedamm 244,030 640 93 580,030 64 19 76 27,www.awo-treptow-koepenick.de,wohngemeinschaft@awo-tk.de,Wohn- und Freizeitangebote für Menschen mit Behinderung,Deutsch,Inklusion,,52.447345,13.6344
AWO pro:mensch gGmbH,Therapeutisches Übergangswohnheim Steglitz,Steglitz-Zehlendorf,12169,Steglitzer Damm 69,030 43 777 99 0,,https://www.awo-promensch.de/integration/tuewh-steglitz/,uewhsteglitz@awo-promensch.de,Wohnstätte für Menschen mit Behinderung,Deutsch,Inklusion,,52.450032,13.348533
AWO Kreisverband Spree-Wuhle e.V.,„Co-Beratung“ nach Anmeldung,verschiedene Standorte,,,030 200 53 429,030 200 53-875,www.awo-city.de,info@awo-city.de,Beratung für Menschen mit Behinderung und Migrantinnen und Migranten,Deutsch,"Inklusion,Migration",,,
AWO Kreisverband Mitte e.V.,"Tagespflege ""Sommergarten""",Mitte,13347,Reinickendorfer Straße 58 a,030 45 60 60 50,,https://awo-mitte.de/senioren-pflege/,tpe-sommergarten@awo-mitte.de,Tagespflege für Seniorinnen und Senioren und Menschen mit Pflegebedarf,Deutsch,"Inklusion,Senior*innen",,50.622092,9.445231
AWO Kreisverband Mitte e.V.,Leben und Lernen im Kiez - LeLeKie,Mitte,13347,Malplaquetstraße 5a,030 45 02 57 53,,https://awo-mitte.de/kinder-jugend/,awo-lelekie@awo-mitte.de,Jugendarbeit für Kinder und Jugendliche,Deutsch,Jugend,,52.549702,13.361616
AWO Kreisverband Südost e.V.,AWO Brückenbauer an der ISS Hermann-von-Helmholtz,Neukölln,12353,Wutzkyallee 68 - 73,030 609 717 41,030 609 717 38,,jens-priesen@awo-suedost.de,Berufsorientierung,Deutsch,"Jugend,Beratung",,45.199368,-67.311854
AWO pro:mensch gGmbH,Betreutes Einzelwohnen,Marzahn-Hellersdorf,12623,Hultschiner Damm 98,030 671 22 434,,https://www.awo-promensch.de/hilfen-zur-erziehung/betreutes-wohnen/,hze-stationaer@awo-promensch.de,Betreutes Wohnen für Jugendliche,Deutsch,"Jugend,Familie",,52.483697,13.602699
AWO Kreisverband Mitte e.V.,Kinder- und Jugendclub Berlin Mitte e.V.,Mitte,13347,Bellermannstr. 65,030 45 50 87 37,,https://awo-mitte.de/kinder-jugend/,bellermann@awo-mitte.de,Freizeitangebot für Kinder und Jugendliche,Deutsch,"Jugend,Kinder",,52.549742,13.392444
AWO Kreisverband Spree-Wuhle e.V.,"""Hippy"" - Unterstützung von Eltern mit Vorschulkindern",Friedrichshain-Kreuzberg,10997,Adalbertstraße 23a,030 695 658 85 29,030 695 356 35,https://www.awo-spree-wuhle.de/opstapje-hippy/,h.dreibholz@awo-spree-wuhle.de,Unterstützung von Eltern mit Vorschulkindern/ Spiel- und Lernprogramm für Kinder ab 3 Jahren,"Deutsch,Türkisch","Kinder,Familie",,52.503797,13.421551
AWO Kreisverband Spree-Wuhle e.V.,"""Kita-Einstieg""",Friedrichshain-Kreuzberg,10997,Adalbertstraße 23a,030 695 35 623,030 695 356 35,https://www.awo-spree-wuhle.de/kita-einstieg/,kita-einstieg@awo-spree-wuhle.de,"Niedrigschwellige Angebote gefördert, die den Einstieg in die Kindertagesbetreuung erleichtern.",Deutsch,"Kinder,Familie",,52.503797,13.421551
AWO pro:mensch gGmbH,EWG Gulliver – Das Kinderhaus für kleine Riesen,Marzahn-Hellersdorf,12683,Allee der Kosmonauten 120a,030 544 31 651,030 544 31 904,https://www.awo-promensch.de/hilfen-zur-erziehung/betreutes-wohnen/,hze-stationaer@awo-promensch.de,"Betreutes Wohnen für Kinder, Hilfen zur Erziehung für Familien, Wohnstätte für Kinder",Deutsch,"Kinder,Familie",,52.529236,13.549851
AWO pro:mensch gGmbH,Gekko – Gruppe für Kinder aus Scheidungsfamilien. In Kooperation mit JAO e.V.,Marzahn-Hellersdorf,12623,Hultschiner Damm 98,030 671 22 434,030 567 01 395,https://www.awo-promensch.de/hilfen-zur-erziehung/betreutes-wohnen/,hze-stationaer@awo-promensch.de,Familienhilfe für Kinder und Familien,Deutsch,"Kinder,Familie",,52.483697,13.602699
AWO Kreisverband Mitte e.V.,AWO Kita “Maulwurf”,Mitte,10785,Lützowstr. 83-85,030 26 18 950,,https://awo-mitte.de/kinder-jugend/#kitas,maulwurf@awo-mitte.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,47.2711845,11.4096679
AWO Kreisverband Mitte e.V.,AWO Kita “Wassertropfen”,Friedrichshain-Kreuzberg,10999,Oranienstraße 192,030 614 48 29,,https://awo-mitte.de/kinder-jugend/#kitas,wassertropfen@awo-mitte.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.50014,13.422522
AWO Kreisverband Mitte e.V.,AWO Kita „Am Spreebogen“,Mitte,10559,Alt Moabit 98,030 44 72 40 01,,https://awo-mitte.de/kinder-jugend/#kitas,spreebogen@awo-mitte.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.524774,13.346485
AWO Kreisverband Mitte e.V.,AWO Kita „Europa Kita“,Friedrichshain-Kreuzberg,10961,Blücherstraße 46/47,030 2 51 34 42,,https://awo-mitte.de/kinder-jugend/#kitas,europakita@awo-mitte.de,Kindertagesstätte,"Deutsch,Türkisch","Kinder,Familie,Kita/Ganztag",,,
AWO Kreisverband Mitte e.V.,AWO Kita „Kastanie“,Friedrichshain-Kreuzberg,10999,Reichenberger Straße 122,030 611 45 25,,https://awo-mitte.de/kinder-jugend/#kitas,kastanie@awo-mitte.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.495294,13.431845
AWO Kreisverband Mitte e.V.,AWO Kita „Löwenzahn“,Friedrichshain-Kreuzberg,10961,Baerwaldstraße 56,030 251 20 26,,https://awo-mitte.de/kinder-jugend/#kitas,loewenzahn@awo-mitte.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.492673,13.402552
AWO Kreisverband Mitte e.V.,AWO Kita Pinocchio,Mitte,13347,Iranische Straße 6a,030 3252 87 76,,https://awo-mitte.de/kinder-jugend/#kitas,pinocchio@awo-mitte.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.555331,13.366837
AWO Kreisverband Mitte e.V.,AWO Kita „Schmetterling“,Mitte,10551,Turmstraße 71,030 39 74 19 95,,https://awo-mitte.de/kinder-jugend/#kitas,schmetterling@awo-mitte.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,48.274811,14.317008
AWO Kreisverband Mitte e.V.,AWO Kita „Sonnenblume“,Mitte,13347,Reinickendorfer Straße 62,030 455 66 50,,https://awo-mitte.de/kinder-jugend/#kitas,sonnenblume@awo-mitte.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.554343,13.365652
AWO Kreisverband Spandau e.V.,AWO Kita Feldhäuschen,Spandau,13591,Brunsbütteler Damm 413,030 363 00 68,030 37 58 94 61,https://www.awo-spandau.de/kinder-familie/kindertagesstaette-feldhaeuschen.html,kita-feldhaeuschen@awo-spandau.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.534219,13.135899
AWO Kreisverband Spandau e.V.,AWO Kita Kladow,Spandau,14089,Mascha-Kaléko-Weg 3-3b,030 365 20 94,030 36 43 34 64,https://www.awo-spandau.de/kinder-familie/kindertagesstaette-kladow.html,kita-kladow@awo-spandau.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.4587836,13.1557774
AWO Kreisverband Spandau e.V.,AWO Kita Landstadt Gatow,Spandau,14089,Saint-Exupéry-Straße 10,030 36 99 69 90,030 36 99 69 91,https://www.awo-spandau.de/kinder-familie/kindertagesstaette-landstadt-gatow.html,kita-landstadt-gatow@awo-spandau.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.47075,13.130252
AWO Kreisverband Spandau e.V.,AWO Kita Sternschnuppe,Spandau,13583,Falkenseer Chaussee 8,030 375 49 60,030 30 83 70 63,https://www.awo-spandau.de/kinder-familie/kindertagesstaette-sternschnuppe.html,kita-sternschnuppe@awo-spandau.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.54638,13.192125
AWO Kreisverband Spandau e.V.,AWO Kita Wundertüte,Spandau,13585,Neuendorfer Straße 56,030 336 43 87,030 33 00 23 18,https://www.awo-spandau.de/kinder-familie/kindertagesstaette-wundertuete.html,kita-wundertuete@awo-spandau.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.552508,13.210184
AWO Kreisverband Spandau e.V.,AWO Kita Zwergenwinkel,Spandau,13591,Zweiwinkelweg 12-14,030 37 15 17 61,030 37 15 17 83,https://www.awo-spandau.de/kinder-familie/kindertagesstaette-zwergenwinkel.html,kita-zwergenwinkel@awo-spandau.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.5318105,13.1463308
AWO Kreisverband Spandau e.V.,Hort der Grundschule am Eichenwald (Offener Ganztagsbetrieb),Spandau,13587,Gaismannshofer Weg 2,030 367 58 11 20,030 367 58 11 21,https://www.awo-spandau.de/jugend-schule/offener-ganztagsbetrieb-an-grundschulen/offener-ganztagsbetrieb-an-der-grundschule-am-eichenwald.html,hort-eichenwald@awo-spandau.de,Hort ,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.558366,13.199056
AWO Kreisverband Spandau e.V.,Hort der Mary-Poppins-Grundschule (Offener Ganztagsbetrieb),Spandau,14089,Charles-Lindbergh-Straße 74,030 36 28 97 59,030 36 28 98 01,https://www.awo-spandau.de/jugend-schule/offener-ganztagsbetrieb-an-grundschulen/offener-ganztagsbetrieb-an-der-mary-poppins-grundschule.html,hort-landstadt-gatow@awo-spandau.de,Hort,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.472629,13.12519
AWO Kreisverband Spree-Wuhle e.V.,"Kita ""Galileo""",Marzahn-Hellersdorf,12627,Naumburger Ring 25,030 498 976 00,030 667 667 11,https://www.awo-spree-wuhle.de/galileo/,galileo@awo-spree-wuhle.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.53835,13.612903
AWO Kreisverband Spree-Wuhle e.V.,"Kita ""Wuhlehopser""",Marzahn-Hellersdorf,12687,Wuhletalstraße 70,030 936 640 61,,https://www.awo-spree-wuhle.de/wuhlehopser/,wuhlehopser@awo-spree-wuhle.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.559914,13.56645
AWO Kreisverband Spree-Wuhle e.V.,"Kita ""Leonardo""",Friedrichshain-Kreuzberg,10243,Kleine Markusstraße 9,030 200 952 70,030 246 256 93,https://www.awo-spree-wuhle.de/leonardo/,leonardo@awo-spree-wuhle.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.514744,13.427028
AWO Kreisverband Spree-Wuhle e.V.,"Kita ""Lingulino""",Friedrichshain-Kreuzberg,10961,Solmsstraße 1,030 364 470 01,,https://www.awo-spree-wuhle.de/lingulino/,lingulino@awo-spree-wuhle.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.494185,13.393095
AWO Kreisverband Spree-Wuhle e.V.,"Kita ""Sonnenschein""",Friedrichshain-Kreuzberg,10963,Wartenburgstraße 6,030 50 58 78 01,,https://www.awo-spree-wuhle.de/sonnenschein/,sonnenschein@awo-spree-wuhle.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.495696,13.381252
AWO Kreisverband Spree-Wuhle e.V.,"Kita ""Tausendfüßchen""",Friedrichshain-Kreuzberg,10247,Liebigstraße 30/ 31,030 426 78 75,030 325 370 55,https://www.awo-spree-wuhle.de/tausendfuesschen/,tausendfuesschen@awo-spree-wuhle.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,,
AWO Kreisverband Spree-Wuhle e.V.,"Kita ""Weidenkätzchen""",Friedrichshain-Kreuzberg,10247,Weidenweg 68,030 422 24 28,,https://www.awo-spree-wuhle.de/weidenkaetzchen/,weidenkaetzchen@awo-spree-wuhle.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,48.348565,16.845935
AWO Kreisverband Spree-Wuhle e.V.,"Kita ""Wichtelbühne""",Friedrichshain-Kreuzberg,10247,Weidenweg 78/ Liebigstraße 29,030 417 248 51,030 417 248 52,https://www.awo-spree-wuhle.de/wichtelbuehne/,wichtelbuehne@awo-spree-wuhle.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,,
AWO Kreisverband Südost e.V.,AWO Kita „Du und Ich“,Neukölln,12055,Kanner Straße 12,030 568 23 640,030 56 82 38 65,https://www.awo-südost.de/kita-du-und-ich,info-duundich@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.471669,13.447426
AWO Kreisverband Südost e.V.,AWO Kita „Freie Scholle“,Reinickendorf,13509,Erholungsweg 1,030 433 81 54,030 417 44 359,https://www.awo-südost.de/kita-freie-scholle,info-freiescholle@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.598103,13.305689
AWO Kreisverband Südost e.V.,AWO Kita „Grashüpfer“,Lichtenberg,10318,Honnefer Straße 25,030 50 986 51,030 50 89 85 19,https://www.awo-südost.de/kita-grashuepfer,info-grashuepfer@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.485204,13.534121
AWO Kreisverband Südost e.V.,AWO Kita „Hand in Hand – El Ele“,Neukölln,12049,Weisestraße 25,030 621 40 02,030 814 68 644,https://www.awo-südost.de/kita-elele,info-elele@awo-suedost.de,Kindertagesstätte,"Deutsch,Türkisch","Kinder,Familie,Kita/Ganztag",,52.475125,13.424408
AWO Kreisverband Südost e.V.,AWO Kita „Große Kinderwelt“,Reinickendorf,13403,Klixstraße 31d,030 41 789 00,030 41 789 019,https://www.awo-südost.de/kita-kinderwelt,info-kinderwelt@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.569188,13.308471
AWO Kreisverband Südost e.V.,AWO Kita „Kleine Kinderwelt“,Reinickendorf,13403,Klixstraße 27,030 67 46 29 72,,https://www.awo-südost.de/kita-kinderwelt-kontakt,info-kinderwelt@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.569861,13.309691
AWO Kreisverband Südost e.V.,AWO Kita „Märcheninsel“,Lichtenberg,10315,Charlottenstraße 3a-b,030 51 00 95 08,030 51 22 154,https://www.awo-südost.de/kita-maercheninsel,info-maercheninsel@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,51.745583,14.633565
AWO Kreisverband Südost e.V.,AWO Kita „Müggelzwerge“,Treptow-Köpenick,12587,Peter-Hille-Straße 4,030 645 56 77,030 64 09 28 45,https://www.awo-südost.de/kita-mueggelzwerge,info-mueggelzwerge@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.454662,13.620813
AWO Kreisverband Südost e.V.,AWO Kita „Rappelkiste“,Neukölln,12359,Wesenberger Ring 13,030 602 12 60,030 666 252 28,https://www.awo-südost.de/kita-rappelkiste,info-rappelkiste@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.440793,13.441977
AWO Kreisverband Südost e.V.,"AWO Kita ""Krümelkiste""",Neukölln,12051,Bendastraße 11 d,030 627 34 330,030 666 204 25,https://www.awo-südost.de/kita-kruemelkiste,info-kruemelkiste@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.393083,13.096217
AWO Kreisverband Südost e.V.,AWO Kita „Schneckenhaus“,Reinickendorf,13507,Bernauer Straße 136,030 43 55 10 74,030 43 55 10 75,https://www.awo-südost.de/kita-schneckenhaus,info-schneckenhaus@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.575946,13.276446
AWO Kreisverband Südost e.V.,AWO Kita „Sonnenkinder“,Treptow-Köpenick,12489,Zinsgutstraße 38,030 678 95 875,030 67 89 58 76,https://www.awo-südost.de/kita-sonnenkinder,info-sonnenkinder@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.43756,13.556618
AWO Kreisverband Südost e.V.,AWO Kita „Spatzennest“,Treptow-Köpenick,12437,Dammweg 155/157,030 532 44 53 oder 030 532 83 75,030 530 27 671,https://www.awo-südost.de/kita-spatzennest,info-spatzennest@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,,
AWO Kreisverband Südost e.V.,AWO Kita „Villa Kunterbunt“,Neukölln,12045,Weserstraße 198,030 623 40 11,030 818 557 96,https://www.awo-südost.de/kita-villa-kunterbunt,info-kunterbunt@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.487201,13.43295
AWO Kreisverband Südost e.V.,AWO Kita „Wilde 13“,Neukölln,12355,Jeanette-Wolff-Straße 13,030 669 928 20,030 669 928 23,https://www.awo-südost.de/kita-wilde-13,info-wilde13@awo-suedost.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.402854,13.509885
AWO Kreisverband Südost e.V.,"AWO Hort „Elfenfels""",Neukölln,12355,Jeannette-Wolff-Straße 17,030 6 69 19 88,030 665 29 537,https://www.awo-südost.de/elfenfels,info-elfenfels@awo-suedost.de,Offene Ganztagsbetreuung,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.402228,13.508254
AWO pro:mensch gGmbH,AWO Kita „Apfelbäumchen“,Reinickendorf,13509,Oeserstraße 8,030 43 35 108,030 43 77 47 08,https://www.awo-promensch.de/kindertagesstaetten/kita-apfelbaeumchen/,kita.apfelbaeumchen@awo-promensch.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.589429,13.294482
AWO pro:mensch gGmbH,AWO Kita „Blumentraum“,Marzahn-Hellersdorf,12627,Rathener Straße 3,030 31 98 68 80,030 30 60 95 86,https://www.awo-promensch.de/kindertagesstaetten/kita-blumentraum/,kita.blumentraum@awo-promensch.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,51.003096,13.839497
AWO pro:mensch gGmbH,AWO Kita „Kunterbunt“,Marzahn-Hellersdorf,12687,Liebensteiner Straße 20-22,030 930 96 07,030 39206120,https://www.awo-promensch.de/kindertagesstaetten/kita-kunterbunt/,kita.kunterbunt@awo-promensch.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.5584863,13.5591357
AWO pro:mensch gGmbH,AWO Kita „Notenhopser“,Marzahn-Hellersdorf,12681,Murtzaner Ring 70-72,030 22 50 54 521,030 2250 54 528,https://www.awo-promensch.de/kindertagesstaetten/kita-notenhopser/,kita.notenhopser@awo-promensch.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.533312,13.541064
AWO pro:mensch gGmbH,AWO Kita „Raupe Nimmersatt“,Marzahn-Hellersdorf,12681,Marchwitzastraße 47/49,030 541 05 01,030 32 53 30 26,https://www.awo-promensch.de/kindertagesstaetten/kita-nimmersatt/,kita.nimmersatt@awo-promensch.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,,
AWO pro:mensch gGmbH,AWO Kita „Tautropfen“,Steglitz-Zehlendorf,12169,Steglitzer Damm 69a,030 206 22 99 80,030 206 22 99 829,https://www.awo-promensch.de/kindertagesstaetten/kita-tautropfen/,kita.tautropfen@awo-promensch.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.450175,13.348517
AWO pro:mensch gGmbH,AWO Kita „Wirbelwind“,Lichtenberg,12681,Marzahner Chaussee 205-207,030 766 87 69 20,030 766 87 69 29,https://www.awo-promensch.de/kindertagesstaetten/kita-wirbelwind/,kita.wirbelwind@awo-promensch.de,Kindertagesstätte,Deutsch,"Kinder,Familie,Kita/Ganztag",,52.5203977,13.5309475
AWO Kreisverband Spree-Wuhle e.V.,"""Opstapje"" - Unterstützung von Eltern mit Kitakindern",Friedrichshain-Kreuzberg,10997,Adalbertstraße 23a,030 695 658 85 29,030 695 356 35,https://www.awo-spree-wuhle.de/opstapje-hippy/,h.dreibholz@awo-spree-wuhle.de,"Frühförderung für Familien, Familienbildung für Familien/ Spiel- und Lernprogramm für Eltern mit Kindern von 18-24 Monaten","Deutsch,Türkisch","Kinder,Familie,Migration",,52.503797,13.421551
AWO Kreisverband Spree-Wuhle e.V.,"""Rucksack""",Friedrichshain-Kreuzberg,10997,Adalbertstraße 23a,030 695 658 85 28,030 695 356 35,https://www.awo-spree-wuhle.de/rucksack/,k.werth@awo-spree-wuhle.de,"Frühförderung für Familien, Familienbildung für Familien/ Ein Programm zur alltagsintegrierten Sprach- und Familienbildung in Kindertagesstätten",Deutsch,"Kinder,Familie,Migration",,52.503797,13.421551
AWO Kreisverband Spree-Wuhle e.V.,"Jugendfreizeiteinrichtung ""Villa Pelikan""",Marzahn-Hellersdorf,12621,Hellersdorfer Straße 27,030 562 999 79,030 562 999 78,https://www.awo-spree-wuhle.de/villa-pelikan/,villa-pelikan@awo-spree-wuhle.de,Offene Kinder- und Jugendarbeit,Deutsch,"Kinder,Jugend",,52.516074,13.588771
AWO Kreisverband Spree-Wuhle e.V.,"Jugendfreizeiteinrichtung ""Die Nische""",Marzahn-Hellersdorf,12627,Louis-Lewin-Straße 40c,030 998 59 91,,https://www.awo-spree-wuhle.de/die-nische/,die-nische@awo-spree-wuhle.de,Offene Kinder- und Jugendarbeit,Deutsch,"Kinder,Jugend",,52.532817,13.624023
AWO Kreisverband Spree-Wuhle e.V.,"Jugendfreizeiteinrichtung ""Balzerplatz""",Marzahn-Hellersdorf,12683,Köpenicker Straße 184,030 54 71 82 10,,https://www.awo-spree-wuhle.de/balzerplatz/,balzerplatz@awo-spree-wuhle.de,Kinder- und Jugendfreizeiteinrichtung mit generationsübergreifenden Angeboten/ Das Freizeithaus wird in Kooperation durch die Träger pad gGmbH und AWO Spree-Wuhle e.V. getragen,Deutsch,"Kinder,Jugend",,52.487338,13.560174
AWO Kreisverband Südost e.V.,Schulstation „ Theos Schüleroase“,Neukölln,12047,Hobrechtstraße 76,030 620 056 68,030 620 057 69,https://www.awo-südost.de/schulstation-theos-schueleroase,theos-schueleroase@awo-suedost.de,Schulsozialarbeit für Kinder und Jugendliche,Deutsch,"Kinder,Jugend",,52.486855,13.42672
AWO Kreisverband Südost e.V.,Schulstation „Atlantis“,Neukölln,12051,Mariendorfer Weg 69,030 627 26 947,030 627 26 986,https://www.awo-südost.de/schulstation-atlantis,atlantis@awo-suedost.de,Schulsozialarbeit für Kinder und Jugendliche,Deutsch,"Kinder,Jugend",,52.464157,13.430211
AWO Kreisverband Südost e.V.,Lernwerkstatt an der Theodor Storm Grundschule,Neukölln,12047,Hobrechtstr. 76,030 620 05 668,030 620 05 769,www.awo-südost.de/lernwerkstatt-theodor-storm-grundschule,,Lernwerkstatt für Schüler*innen,Deutsch,"Kinder,Jugend",,52.486855,13.42672
AWO Kreisverband Südost e.V.,Stadtteil-Lernwerkstatt Campus Rütli,Neukölln,12045,Weserstr. 198,030 818 557 97,030 818 557 96,https://www.awo-südost.de/stadtteil-lernwerkstatt-campus-ruetli,markus-hein@awo-suedost.de,Lernwerkstatt,Deutsch,"Kinder,Jugend",,52.487201,13.43295
AWO pro:mensch gGmbH,Stationäre Wohngruppen/Erziehungsbeistandschaft,Marzahn-Hellersdorf,12623,Hultschiner Damm 98,030 56 70 13 89,030 56 70 13 95,https://www.awo-promensch.de/hilfen-zur-erziehung/betreutes-wohnen/,hze-stationaer@awo-promensch.de,"Betreutes Wohnen für Kinder und Jugendliche, Hilfen zur Erziehung für Familien",Deutsch,"Kinder,Jugend,Familie",,52.483697,13.602699
AWO Kreisverband Südost e.V.,"Jugend- und Gemeinschaftshaus ""Die Scheune""",Neukölln,12055,Böhmische Straße 39a,030 319 880 98,,https://www.awo-südost.de/jugendarbeit-die-scheune,jc-scheune@awo-suedost.de,"Freizeitangebot für Kinder und Jugendliche, Jugendclub für Kinder und Jugendliche",Deutsch,"Kinder,Jugend,Kultur",,50.893846,14.80778
AWO Kreisverband Südost e.V.,"Kinder- u. Jugendfreizeiteinrichtung ""Judith-Auer""",Lichtenberg,10369,Otto-Marquardt-Straße 6-8,030 288 36 306,,https://www.awo-südost.de/jugendarbeit-judith-auer,jc-lichtenberg@awo-suedost.de,"Freizeitangebot für Kinder und Jugendliche, Jugendclub für Kinder und Jugendliche",Deutsch,"Kinder,Jugend,Kultur",,52.533004,13.471238
